TypeOfWork,IssueYear,geo_point_2d,PostalCode
Addition / Alteration,2020,"49.26892, -123.1628858",V6K 1M1
Demolition / Deconstruction,2020,"49.2709974, -123.0561495",V5L 4T8
Demolition / Deconstruction,2020,"49.2708802, -123.0561432",V5L 4T8
Salvage and Abatement,2020,"49.2291503, -123.1169543",V5Z 3B2
New Building,2020,"49.2321792, -123.1299937",V6M 2B8
Demolition / Deconstruction,2020,"49.2300715, -123.0629731",V5P 1N2
Salvage and Abatement,2017,"49.2218106, -123.0379378",V5S 1V1
New Building,2017,"49.2236478, -123.0356244",V5S 3J6
Salvage and Abatement,2017,"49.2236478, -123.0356244",V5S 3J6
New Building,2017,"49.2319411, -123.0435793",V5R 2Y5
Addition / Alteration,2021,"49.262936, -123.1165444",V5Z 1E9
Salvage and Abatement,2020,"49.2435248, -123.1682281",V6L 2B5
Addition / Alteration,2020,"49.2719189, -123.1532905",V6K 1C4
Addition / Alteration,2020,"49.2822452, -123.1194942",V7Y 1K8
Addition / Alteration,2019,"49.261317, -123.1139388",V5Y 1V4
Addition / Alteration,2020,"49.287517, -123.1172287",V6C 0C5
Addition / Alteration,2019,"49.2638177, -123.1222458",V5Z 1K1
New Building,2020,"49.2163034, -123.1297321",V6P 4A4
Addition / Alteration,2020,"49.2642919, -123.0982435",V5T 4K5
New Building,2020,"49.2260514, -123.0259449",V5S 3P5
Addition / Alteration,2020,"49.2109539, -123.0936527",N/A
Addition / Alteration,2020,"49.2219116, -123.0912703",V5X 3T9
Addition / Alteration,2022,"49.2507825, -123.1043484",V5V 1T4
Temporary Building / Structure,2020,"49.2090685, -123.10039",V5X 2S5
New Building,2020,"49.2528613, -123.1543772",V6L 1L4
Addition / Alteration,2020,"49.2860253, -123.1319042",V6E 1H7
New Building,2020,"49.2592683, -123.1905772",N/A
Addition / Alteration,2020,"49.2629784, -123.1188085",V5Z 1G1
Addition / Alteration,2020,"49.2636035, -123.1101835",V5Y 1N5
Addition / Alteration,2020,"49.2854092, -123.1219503",V6E 0B6
Salvage and Abatement,2020,"49.2266223, -123.1475573",V6P 5H9
Addition / Alteration,2019,"49.2087637, -123.1320922",V6P 2Y2
Addition / Alteration,2020,"49.2811966, -123.1383185",V6E 1V6
Addition / Alteration,2020,"49.2649815, -123.1872227",V6R 1Z3
New Building,2020,"49.2478963, -123.0346382",V5R 1J5
Addition / Alteration,2020,"49.2640452, -123.1250342",V5Z 1E5
Addition / Alteration,2020,"49.2662686, -123.0730464",V5N 1L6
Addition / Alteration,2020,"49.2526994, -123.0992568",V5V 1M1
New Building,2020,"49.2563061, -123.0481762",V5M 2K3
Addition / Alteration,2020,"49.2849695, -123.1193112",V6C 2X8
Demolition / Deconstruction,2020,"49.2495679, -123.097365",V5V 1Z8
Addition / Alteration,2020,"49.2846812, -123.1118936",V6B 1M1
Addition / Alteration,2021,"49.2793883, -123.0798731",V6A 1Z2
Salvage and Abatement,2020,"49.2271899, -123.1383803",V6M 2R4
Addition / Alteration,2020,"49.208922, -123.0259898",N/A
Addition / Alteration,2020,"49.2090271, -123.0253039",N/A
Addition / Alteration,2020,"49.208977, -123.0251473",N/A
Addition / Alteration,2020,"49.2085071, -123.0249552",N/A
New Building,2020,,V5Z 2H8
New Building,2020,,V5Z 2H8
New Building,2020,"49.2455109, -123.1170503",V5Z 2H8
New Building,2020,,V5Z 2H8
Demolition / Deconstruction,2020,"49.218321, -123.146681",V6P 1W9
New Building,2020,"49.2266081, -123.1479072",V6P 5H9
Addition / Alteration,2020,"49.2402293, -123.1920454",V6N 2P2
Demolition / Deconstruction,2017,"49.2545254, -123.0263717",V5M 4C4
Salvage and Abatement,2017,"49.2458396, -123.1706273",V6L 1Y4
Demolition / Deconstruction,2018,"49.2265152, -123.1073582",V5Y 2Y4
Addition / Alteration,2017,"49.2890165, -123.0549779",V5K 1G7
Salvage and Abatement,2020,"49.2565566, -123.1568565",V6L 1A5
Salvage and Abatement,2020,"49.2143073, -123.1366353",V6P 4R8
New Building,2021,"49.2772286, -123.0392769",V5K 4G8
New Building,2021,"49.2772286, -123.0392769",V5K 4G8
Addition / Alteration,2020,"49.2768831, -123.1196833",N/A
Addition / Alteration,2020,"49.2834216, -123.1153118",V6B 3H6
New Building,2020,"49.2482303, -123.0262103",V5R 2M2
Addition / Alteration,2020,"49.2873713, -123.1188596",V6E 4M1
Addition / Alteration,2020,"49.2833965, -123.117746",N/A
New Building,2020,"49.2452192, -123.1423084",V6J 4E7
Addition / Alteration,2020,"49.2292377, -123.1548368",V6M 3V7
Salvage and Abatement,2020,"49.2504623, -123.068481",V5N 2P6
New Building,2020,"49.242452, -123.0703876",V5N 3X8
Addition / Alteration,2020,"49.2766275, -123.0696254",V5L 2H2
Addition / Alteration,2019,"49.2710445, -123.0691313",N/A
Salvage and Abatement,2020,"49.2395167, -123.0562102",V5R 3J3
Addition / Alteration,2020,"49.2749815, -123.0691573",V5L 3W9
Demolition / Deconstruction,2020,"49.2567983, -123.1949984",V6S 1B9
Demolition / Deconstruction,2020,"49.2291985, -123.1421139",V6M 3H6
Salvage and Abatement,2020,"49.2392296, -123.1768655",V6N 2R7
Addition / Alteration,2020,"49.2603211, -123.0839305",V5T 2E9
New Building,2020,"49.2258787, -123.1412476",V6P 5B1
Demolition / Deconstruction,2020,"49.251639, -123.1688591",V6L 1P3
New Building,2020,"49.259575, -123.1854076",V6R 2W5
Salvage and Abatement,2020,"49.2139021, -123.1187243",V6P 2C9
Addition / Alteration,2020,"49.2492829, -123.1848371",V6S 2E7
New Building,2020,"49.2661836, -123.0622941",V5N 1M3
Demolition / Deconstruction,2020,"49.2661836, -123.0622941",V5N 1M3
New Building,2020,"49.2139933, -123.0966105",V5X 2G1
Addition / Alteration,2020,"49.2658335, -123.1428519",V6J 5G4
Addition / Alteration,2020,"49.2877091, -123.1180139",V6E 0C3
Addition / Alteration,2020,"49.2578703, -123.045169",V5M 2C9
Addition / Alteration,2020,"49.2828817, -123.0857965",N/A
New Building,2020,"49.213438, -123.0927204",V5X 2K3
Addition / Alteration,2020,"49.2633073, -123.109886",V5Y 1P5
Addition / Alteration,2020,"49.2721931, -123.1657633",V6K 1A5
Addition / Alteration,2020,"49.2443225, -123.0524172",V5R 3H7
New Building,2021,"49.2700377, -123.1637517",V6K 1J8
Addition / Alteration,2020,"49.2773057, -123.120708",V6B 1M9
New Building,2020,"49.2209561, -123.0869105",V5X 1L8
New Building,2020,"49.2788333, -123.0370305",V5K 2H1
New Building,2020,"49.2788333, -123.0370305",V5K 2H1
Addition / Alteration,2020,"49.2167145, -123.0912939",V5X 1Y2
Demolition / Deconstruction,2020,"49.2521108, -123.0460302",V5M 2T9
New Building,2020,"49.2521108, -123.0460302",V5M 2T9
Addition / Alteration,2020,"49.2866494, -123.125227",V6E 4A2
New Building,2020,"49.259575, -123.1854076",V6R 2W5
Addition / Alteration,2020,"49.290002, -123.133775",V6G 1C7
Addition / Alteration,2021,"49.2792372, -123.1282976",V6Z 2E8
Addition / Alteration,2022,"49.2524565, -123.0755796",V5N 3L5
New Building,2020,"49.2249242, -123.0283225",V5S 1H7
Temporary Building / Structure,2020,"49.2737526, -123.1033815",V6A 3Z7
Salvage and Abatement,2020,"49.2521386, -123.1666174",V6L 1P1
Addition / Alteration,2020,"49.2420241, -123.0277494",V5R 4G2
Addition / Alteration,2020,"49.258398, -123.1388245",N/A
Demolition / Deconstruction,2020,"49.2345818, -123.1913574",V6N 2A3
Addition / Alteration,2020,"49.2909176, -123.1363849",N/A
Addition / Alteration,2020,"49.2434528, -123.0279463",V5R 5N8
Addition / Alteration,2020,"49.2848641, -123.1258325",V6E 1B2
Addition / Alteration,2020,"49.2640342, -123.1246228",V5Z 1E5
Addition / Alteration,2020,"49.2853723, -123.123272",V6E 3V7
Addition / Alteration,2020,"49.272019, -123.160168",V6K 3L7
Addition / Alteration,2020,"49.2768557, -123.1315506",V6Z 2H3
Addition / Alteration,2020,"49.273787, -123.1198134",V6Z 2Y1
Addition / Alteration,2020,"49.2635364, -123.1743148",V6K 4C9
Addition / Alteration,2020,"49.2702952, -123.0767082",V5L 3A2
Addition / Alteration,2020,"49.2739315, -123.1181418",V6Z 2Z4
Addition / Alteration,2020,"49.2894937, -123.13804",V6G 2M1
Addition / Alteration,2020,"49.2576705, -123.1904405",V6R 3C7
Salvage and Abatement,2020,"49.2138221, -123.1448304",V6P 2H8
Addition / Alteration,2020,"49.2818174, -123.0512708",V5K 1X6
Addition / Alteration,2020,"49.2875202, -123.1149881",V6C 3L6
Addition / Alteration,2020,"49.2612718, -123.178299",V6R 2M9
New Building,2020,"49.2763919, -123.053471",V5K 2R1
Demolition / Deconstruction,2020,"49.2197903, -123.095452",V5X 1N4
Addition / Alteration,2020,"49.2845505, -123.0915879",V6A 1E1
Addition / Alteration,2020,"49.2760393, -123.0491371",V5K 2T6
Addition / Alteration,2020,"49.2782969, -123.0985215",V6A 1Z7
New Building,2020,"49.2180046, -123.1354329",V6P 1W2
Demolition / Deconstruction,2020,"49.249024, -123.029732",V5R 1G5
Demolition / Deconstruction,2020,"49.2387105, -123.0719282",V5P 1B2
Addition / Alteration,2021,,V6K 1A2
New Building,2020,"49.2236557, -123.0332904",V5S 3K9
Addition / Alteration,2021,"49.2463959, -123.0822924",V5V 4R7
Addition / Alteration,2023,"49.2386523, -123.0384559",V5R 3Z9
Addition / Alteration,2020,"49.2368361, -123.0353039",V5R 5G2
Addition / Alteration,2020,"49.2741266, -123.0625605",V5L 4K8
Addition / Alteration,2020,"49.2351346, -123.0655834",N/A
Demolition / Deconstruction,2020,"49.2521171, -123.1050755",V5Y 2E1
Addition / Alteration,2020,"49.2368797, -123.1679744",V6N 2Z3
Addition / Alteration,2020,"49.2185932, -123.0954857",V5X 1S8
Addition / Alteration,2020,"49.2875202, -123.1149881",V6C 3L6
Addition / Alteration,2020,"49.2781045, -123.1354998",V6E 1T9
Addition / Alteration,2020,"49.2656594, -123.1752433",V6K 2A1
Addition / Alteration,2020,"49.2725107, -123.0780251",V5L 3K9
Addition / Alteration,2020,"49.2102394, -123.0299207",V5S 4G4
Demolition / Deconstruction,2020,"49.2509284, -123.0275774",V5M 2Z5
Addition / Alteration,2020,"49.2873713, -123.1188596",V6E 4M1
Addition / Alteration,2020,"49.2833965, -123.117746",V7Y 1K8
Salvage and Abatement,2020,"49.2494022, -123.0372617",V5R 1B5
New Building,2020,"49.2316931, -123.1938128",V5N 2B8
Addition / Alteration,2020,"49.2610271, -123.0914005",V5T 3S9
New Building,2020,"49.2432986, -123.0930196",V5V 2V6
Salvage and Abatement,2020,"49.2440717, -123.0946328",V5V 2T6
Addition / Alteration,2020,"49.2642763, -123.1767288",N/A
New Building,2020,"49.2537393, -123.0249798",V5M 4B8
Demolition / Deconstruction,2020,"49.2537393, -123.0249798",V5M 4B8
Addition / Alteration,2020,"49.2537616, -123.0375739",V5M 2R5
Addition / Alteration,2021,"49.2508447, -123.1140683",V5Y 2G5
Addition / Alteration,2020,"49.2563808, -123.105194",V5Y 1Y6
Salvage and Abatement,2020,"49.2147843, -123.1032444",V5X 2B4
Addition / Alteration,2020,"49.2889805, -123.1407657",V6G 1R3
New Building,2020,"49.235538, -123.045956",V5R 3W3
Addition / Alteration,2020,"49.2836988, -123.1196238",V6C 3E8
Salvage and Abatement,2020,"49.2269767, -123.0522281",V5S 1E6
Addition / Alteration,2020,"49.2583295, -123.188766",V6R 3C6
Addition / Alteration,2020,"49.2735986, -123.1249092",V6B 6A8
Addition / Alteration,2020,"49.2808901, -123.0532676",V5K 1Z3
Demolition / Deconstruction,2020,"49.2367028, -123.1063389",V5Y 2N5
Salvage and Abatement,2020,"49.2833965, -123.117746",V7Y 1K8
Addition / Alteration,2020,"49.2865896, -123.1209561",V7X 1J1
Addition / Alteration,2020,"49.2793922, -123.0806836",V6A 1Z2
Addition / Alteration,2020,"49.2777136, -123.0576746",V5L 2E9
New Building,2020,"49.241524, -123.0495602",V5R 3L5
Addition / Alteration,2020,"49.2667869, -123.0972356",V5T 4R8
Addition / Alteration,2020,"49.278937, -123.126832",V6Z 2L4
New Building,2020,"49.2444741, -123.1676758",V6L 1Z9
Salvage and Abatement,2020,"49.223332, -123.0477513",V5S 2W9
Addition / Alteration,2020,"49.2648796, -123.1020122",V5T 1M5
New Building,2020,"49.268233, -123.0410327",V5M 1E8
Addition / Alteration,2022,"49.2788289, -123.0378553",V5K 2H1
Addition / Alteration,2020,"49.2822452, -123.1194942",V7Y 1K8
Addition / Alteration,2020,"49.273632, -123.124811",V6B 6A7
Addition / Alteration,2020,"49.2609394, -123.1163251",V5Z 3X7
Addition / Alteration,2020,"49.2424867, -123.1013117",N/A
New Building,2020,"49.2320656, -123.0574789",V5R 3H2
Salvage and Abatement,2020,"49.2756711, -123.0432515",V5K 2T9
Addition / Alteration,2020,"49.2075971, -123.0947356",V5X 4V6
Addition / Alteration,2020,"49.2075955, -123.0947545",V5X 4V6
Demolition / Deconstruction,2020,"49.2740248, -123.1521994",V6J 3W8
Salvage and Abatement,2020,"49.2740248, -123.1521994",V6J 3W8
New Building,2020,"49.2464041, -123.0470526",V5R 2B6
Addition / Alteration,2020,"49.2905353, -123.1355427",V6G 1H2
Addition / Alteration,2020,"49.2803107, -123.1348001",V6E 2A3
Addition / Alteration,2020,"49.2053473, -123.1213835",N/A
Addition / Alteration,2020,"49.2307741, -123.1848887",V6N 1V2
Addition / Alteration,2020,"49.2191522, -123.1563194",V6P 1V4
Addition / Alteration,2020,"49.2811779, -123.1169631",V6B 0M3
Addition / Alteration,2024,"49.2678913, -123.208753",V6R 1S5
New Building,2020,"49.2371298, -123.0256874",V5R 4P1
Addition / Alteration,2020,"49.2494101, -123.0375496",V5R 1B5
Addition / Alteration,2020,"49.2643615, -123.1018385",V5T 1M6
New Building,2020,"49.229052, -123.165226",V6N 1B2
Salvage and Abatement,2020,"49.2752091, -123.0540271",V5K 2W4
New Building,2020,"49.2593024, -123.2119025",V6R 3B4
Addition / Alteration,2020,"49.2151571, -123.096675",V5X 2B7
Addition / Alteration,2020,"49.2504374, -123.094866",V5V 1X7
Addition / Alteration,2020,"49.2540439, -123.1060541",V5Y 2B3
Addition / Alteration,2020,"49.2264432, -123.1019954",V5W 2C8
Addition / Alteration,2020,"49.2548948, -123.1176485",V5Z 1V6
Addition / Alteration,2020,"49.2341709, -123.0596932",V5P 1J6
Addition / Alteration,2020,"49.2809703, -123.0961141",V6A 1P4
Addition / Alteration,2020,"49.2589202, -123.0711198",V5N 2B7
Addition / Alteration,2020,"49.2472541, -123.0853834",V5V 4M1
New Building,2020,,V5V 4M1
Demolition / Deconstruction,2020,"49.2688692, -123.0583731",V5N 1G1
Salvage and Abatement,2020,"49.256512, -123.1537962",V6L 1A3
Addition / Alteration,2020,"49.2822452, -123.1194942",V7Y 1K8
Salvage and Abatement,2020,"49.2332377, -123.1864416",V6N 1Y4
Demolition / Deconstruction,2020,"49.239594, -123.0281522",V5R 4Y9
Salvage and Abatement,2020,"49.239594, -123.0281522",V5R 4Y9
New Building,2020,"49.2090136, -123.1288926",V6P 3Y1
Salvage and Abatement,2020,"49.2090389, -123.1292349",V6P 3Y1
Demolition / Deconstruction,2020,"49.275996, -123.0673755",V5L 2L1
Addition / Alteration,2020,"49.2696924, -123.0441261",N/A
Addition / Alteration,2020,"49.2854414, -123.0573217",V5L 1G3
New Building,2021,"49.2400162, -123.0336727",V5R 4V1
Addition / Alteration,2020,"49.2833965, -123.117746",N/A
Addition / Alteration,2020,"49.2640569, -123.1478794",V6J 1Y5
Demolition / Deconstruction,2021,"49.2793922, -123.0525107",V5K 2E9
New Building,2020,"49.268747, -123.0407251",V5M 1E7
New Building,2020,"49.268747, -123.0407251",V5M 1E7
Addition / Alteration,2020,"49.277301, -123.0693268",V5L 3Y5
Addition / Alteration,2020,"49.2633073, -123.109886",V5Y 1P5
Addition / Alteration,2020,"49.2468094, -123.0852602",V5V 2L3
Addition / Alteration,2020,"49.2589749, -123.1159527",V5Z 1P5
Addition / Alteration,2020,"49.2551572, -123.0898408",N/A
Addition / Alteration,2020,"49.2541116, -123.1025337",V5V 3K1
Addition / Alteration,2020,"49.2719664, -123.156118",V6K 1C5
New Building,2020,"49.2411277, -123.1778073",V6N 2K4
Addition / Alteration,2020,"49.26059, -123.1223369",V5Z 1M9
New Building,2020,"49.2397947, -123.1864286",V6N 2S3
Salvage and Abatement,2020,"49.2507361, -123.1691202",V6L 1R4
Addition / Alteration,2020,"49.2873713, -123.1188596",V6E 4M1
Addition / Alteration,2020,"49.260656, -123.1975262",V6R 2T6
New Building,2020,"49.2182688, -123.1045231",V5X 1S4
Addition / Alteration,2020,"49.2053941, -123.0391356",N/A
Addition / Alteration,2020,"49.2830057, -123.0653549",N/A
Addition / Alteration,2020,"49.269163, -123.1464801",V6J 1K9
Salvage and Abatement,2020,"49.260813, -123.2077503",V6R 2V3
Addition / Alteration,2020,"49.2854414, -123.0573217",V5L 1G3
New Building,2020,"49.2460782, -123.0616305",V5N 2Y1
Addition / Alteration,2020,"49.2476292, -123.0894271",V5V 2H9
New Building,2020,"49.2335344, -123.0620599",N/A
Salvage and Abatement,2021,"49.2362092, -123.1850259",V6N 1W6
Addition / Alteration,2020,"49.2308741, -123.1825077",V6N 1T5
Addition / Alteration,2020,"49.2594655, -123.1330104",V6H 1N6
Addition / Alteration,2020,"49.2643069, -123.1389482",V6H 3G5
Addition / Alteration,2020,"49.2700206, -123.133739",V6H 4G9
Demolition / Deconstruction,2020,"49.224309, -123.0347723",V5S 3J5
Demolition / Deconstruction,2020,"49.2649934, -123.1526439",V6J 1W4
Addition / Alteration,2020,"49.2532702, -123.0776847",V5V 1L5
Addition / Alteration,2020,"49.2481569, -123.1105686",V5Y 2J8
New Building,2017,"49.2284334, -123.0717073",V5P 3K2
New Building,2017,"49.2615305, -123.1114803",V1V 1V1
Salvage and Abatement,2017,"49.2292941, -123.1355326",V6M 2K5
New Building,2018,"49.2132461, -123.1002877",V1V 1V1
Addition / Alteration,2017,"49.2869048, -123.1196033",V6E 3S7
New Building,2020,"49.2197957, -123.0743287",V5P 1Z2
Salvage and Abatement,2020,"49.2197957, -123.0743287",V5P 1Z2
Addition / Alteration,2020,"49.2830059, -123.065072",N/A
Addition / Alteration,2020,"49.2542689, -123.0666884",V5N 4H2
New Building,2020,"49.2129456, -123.1440472",V6P 2P1
Addition / Alteration,2020,"49.2875719, -123.1216511",V6E 2R9
Salvage and Abatement,2020,"49.2444842, -123.1725225",V6L 2A5
Salvage and Abatement,2020,"49.2264484, -123.1052072",V5W 2C6
New Building,2021,"49.224328, -123.0960329",V5X 1B1
Addition / Alteration,2020,"49.2531342, -123.1310118",V6H 2W5
Addition / Alteration,2020,"49.2190888, -123.040184",N/A
Salvage and Abatement,2020,"49.2102133, -123.1395223",V6P 4W3
Addition / Alteration,2020,"49.2176238, -123.1275513",V6P 6Y3
Addition / Alteration,2020,"49.236218, -123.1589122",V6M 3X9
Addition / Alteration,2020,"49.2860578, -123.1175668",V6C 3A8
Addition / Alteration,2020,"49.2843244, -123.1197774",V6C 3L2
Addition / Alteration,2020,"49.2758213, -123.1157158",V6Z 3G6
Addition / Alteration,2020,"49.2580355, -123.1699385",V6K 3C5
Addition / Alteration,2020,"49.2490654, -123.1024642",V5V 2B8
Addition / Alteration,2020,"49.2848767, -123.1178601",V6C 2E7
Addition / Alteration,2020,"49.2756242, -123.1279167",V6B 0M2
Addition / Alteration,2020,"49.284808, -123.1156241",V6C 2T7
Addition / Alteration,2020,"49.2697442, -123.1589471",V6K 1J2
Addition / Alteration,2020,"49.2810955, -123.1216408",V6Z 2L2
Addition / Alteration,2020,"49.2756499, -123.1221162",V6B 2X6
Addition / Alteration,2020,"49.2837204, -123.1211068",N/A
New Building,2020,"49.2546929, -123.0776638",V5V 1H5
Addition / Alteration,2020,"49.2811779, -123.1169631",V6B 0M3
Addition / Alteration,2020,"49.2644763, -123.1212708",V5Z 1C9
Addition / Alteration,2020,"49.231658, -123.1160672",N/A
Demolition / Deconstruction,2020,"49.276485, -123.0984699",V6A 2E5
Salvage and Abatement,2020,"49.276485, -123.0984699",V6A 2E5
Addition / Alteration,2020,"49.284808, -123.1156241",V6C 2T7
Addition / Alteration,2020,"49.2190454, -123.1855448",V6N 3Y9
Addition / Alteration,2020,"49.2190454, -123.1855448",V6N 3Y9
Addition / Alteration,2020,"49.2175055, -123.0762435",V5P 2B9
Addition / Alteration,2020,"49.2865896, -123.1209561",V7X 1J1
Addition / Alteration,2020,"49.2780027, -123.1204998",V6B 8R2
Addition / Alteration,2020,"49.2846812, -123.1118936",V6B 1M1
New Building,2020,"49.2363167, -123.0889809",V5W 1G1
Demolition / Deconstruction,2020,"49.2363167, -123.0889809",V5W 1G1
Demolition / Deconstruction,2020,"49.2378315, -123.053873",V5R 2A5
Addition / Alteration,2020,"49.2883596, -123.142151",V6G 1Z1
Addition / Alteration,2021,"49.2434553, -123.0798132",V5V 4X4
Addition / Alteration,2017,"49.2691593, -123.1459994",V6J 3G9
Demolition / Deconstruction,2017,"49.2624482, -123.1905907",V6R 2K9
Addition / Alteration,2017,"49.2587865, -123.0293268",V5M 4T1
Salvage and Abatement,2017,"49.2350241, -123.0665453",V5P 1G7
Salvage and Abatement,2017,"49.276979, -123.0833778",V6A 3V1
Addition / Alteration,2017,"49.2871894, -123.1160945",V6C 2W2
