Bikeway_Type,Year of Construction,Geom
Protected Bike Lanes,1990.0,"[-123.14617466467314, 49.27724270509196], [-123.14617051609262, 49.27724293881777], [-123.14569319721694, 49.27753183736939], [-123.14569315734646, 49.277531837419666], [-123.14547507886141, 49.278003544475524], [-123.14547506245835, 49.278003576878874], [-123.14522996768723, 49.27846359311816], [-123.1447948277292, 49.27868708395779], [-123.14424521701775, 49.27872841250614], [-123.1436836198202, 49.278664902779184], [-123.14368356891582, 49.27866489114875], [-123.14260584510556, 49.278403547970456], [-123.14211855804157, 49.27811923844165], [-123.1421185167234, 49.27811921330594], [-123.14207652057532, 49.278083489300634], [-123.14179796066279, 49.277846594256225], [-123.14113401952082, 49.27751214124935], [-123.14042174348361, 49.27643658832271], [-123.14040499599012, 49.276283728262435]"
Protected Bike Lanes,2005.0,"[-123.11787925539534, 49.28522137211533], [-123.11837434562244, 49.284894034487934]"
Protected Bike Lanes,1990.0,"[-123.10933004081616, 49.27223782639919], [-123.10857001896338, 49.27220337542969], [-123.10833172416272, 49.27218642367105], [-123.10831062379019, 49.272182613299044], [-123.10829952004916, 49.27218059888907], [-123.1082693454136, 49.2721711939088], [-123.1082421163411, 49.27215845074386], [-123.10821872600455, 49.27214282191752], [-123.10820686266084, 49.27213165110387], [-123.10819964299529, 49.27212485300144], [-123.1081857728385, 49.272104990211005], [-123.10818575351996, 49.27210495694685], [-123.10817733528813, 49.27208377395339], [-123.10799469738735, 49.271752668030885], [-123.1079946821814, 49.27175262936578], [-123.10799114119156, 49.27173635047586], [-123.10798361206652, 49.271720624019785], [-123.10797246418126, 49.271705887717516], [-123.10797242146593, 49.27170584188193], [-123.1079718071376, 49.27170528385449], [-123.10795770519107, 49.27169249867004], [-123.10795265286981, 49.27168918956121], [-123.1079398843991, 49.27168082426627], [-123.10791945878137, 49.271671130335704], [-123.10790910128328, 49.27166769844809], [-123.10787295643541, 49.27165876848816], [-123.10782336694898, 49.271656673018484], [-123.10782284864449, 49.27165665101416], [-123.10709101411514, 49.27164779851067], [-123.10699160174184, 49.27164560852553], [-123.10688730626138, 49.271643310532234], [-123.10686871137439, 49.27164162494209], [-123.10686865638321, 49.27164162319393], [-123.10684989685849, 49.27164199675281], [-123.10683142460297, 49.27164426173224], [-123.10681374823754, 49.27164841316455], [-123.10681370015473, 49.27164842760131], [-123.10679721262332, 49.27165436617654], [-123.10678248701406, 49.27166202030355], [-123.10676975772547, 49.27167107853271], [-123.10676970695341, 49.271671120857036], [-123.10675941070009, 49.27168138129319], [-123.10675171865839, 49.27169253794223], [-123.10675169262285, 49.27169257664561], [-123.10675006935087, 49.271696507245785], [-123.10674676517223, 49.27170441617382], [-123.10674487262662, 49.27171670625584], [-123.10674486994712, 49.271716738641], [-123.10674244898871, 49.271963248747944], [-123.10673465669623, 49.271976386229376], [-123.10672368653184, 49.27198844722238], [-123.10670987334646, 49.27199916605865], [-123.10669348184992, 49.27200826184269], [-123.10667509709909, 49.2720154731727], [-123.10665507610435, 49.27202060902007], [-123.10663409488718, 49.27202351584186], [-123.10661267576974, 49.27202416347144], [-123.10659136159401, 49.27202247494866], [-123.10647126337271, 49.27202536339264], [-123.10647120976935, 49.27202536793965], [-123.1063515215066, 49.272031599394566], [-123.10623217832814, 49.27204106238102], [-123.10620910845638, 49.272045036976216], [-123.10616815626469, 49.27205209266137], [-123.1061025328536, 49.27205808976733], [-123.10603633874167, 49.27205886924841], [-123.10599869263118, 49.272056287088475], [-123.10597036423137, 49.272054352120705], [-123.10579563019155, 49.27205350028278], [-123.10535936429251, 49.27205139374969], [-123.10487701073322, 49.2720248263048], [-123.10459798093125, 49.272009457282245], [-123.10446720898221, 49.27200168950409]"
Painted Lanes,1997.0,"[-123.16371028546791, 49.22396688763705], [-123.16404861092362, 49.22422916222661], [-123.16503502032499, 49.224761146130454], [-123.16551073464551, 49.22501769874492], [-123.16551234861603, 49.225018591461755], [-123.16554319934508, 49.22503510304837], [-123.16554324336857, 49.22503512547345], [-123.16557451199719, 49.22505133601078], [-123.16559610187707, 49.22506206430507], [-123.16560627504711, 49.225067129349824], [-123.1656384367116, 49.22508260457554], [-123.16563849035789, 49.22508262968537], [-123.16567100221629, 49.22509768162217], [-123.1656710366021, 49.22509769686479], [-123.16570394284297, 49.22511239741117], [-123.16573728326108, 49.22512673661488], [-123.16577101383844, 49.22514069384965], [-123.16577107022259, 49.22514071625692], [-123.16580509743288, 49.22515425117786], [-123.1658395505757, 49.22516742386746], [-123.16587432655915, 49.22518020838712], [-123.165874374688, 49.22518022630852], [-123.165909466503, 49.22519258039017], [-123.16590951462587, 49.22519259651254], [-123.16594489229809, 49.22520459216111], [-123.16598039449852, 49.22521603800895], [-123.16598069972275, 49.225216136518355], [-123.16601676831549, 49.225227332372214], [-123.16605315676993, 49.22523807169485], [-123.1662066986851, 49.225280284263135]"
Painted Lanes,1997.0,"[-123.15391232530604, 49.21464756826748], [-123.15440555789533, 49.21513680220554]"
Painted Lanes,1997.0,"[-123.16161279661871, 49.22252879858128], [-123.16259717962085, 49.222931943596684], [-123.16259720854929, 49.2229319705418]"
Painted Lanes,1997.0,"[-123.14863465130436, 49.20940978579292], [-123.15103871526568, 49.211795625875254]"
Painted Lanes,1997.0,"[-123.14640276743766, 49.20862365003426], [-123.14701616707772, 49.20864630727201], [-123.14748523373169, 49.20867061096793], [-123.14748527357085, 49.20867061901281], [-123.14782770402199, 49.20873655124958], [-123.14791449970215, 49.20877189958301], [-123.14803093627621, 49.20881930763846], [-123.14823951006238, 49.209018278705784]"
Protected Bike Lanes,1990.0,"[-123.1421228879415, 49.282940388537796], [-123.14185420169157, 49.2831070961933]"
Protected Bike Lanes,2014.0,"[-123.14783613744616, 49.2715804967694], [-123.14641487553718, 49.271557446457166], [-123.14641482469273, 49.271557452818236]"
Protected Bike Lanes,2004.0,"[-123.1003271549928, 49.26199846511982], [-123.09863878819723, 49.26196842662723]"
Protected Bike Lanes,2009.0,"[-123.10430446983163, 49.28247570170933], [-123.10431204091921, 49.28230314939906], [-123.10432440781832, 49.28198391469812], [-123.104324404983, 49.28198387422237], [-123.10432914511547, 49.28192093698448]"
Protected Bike Lanes,2006.0,"[-123.11444927637942, 49.282354701906236], [-123.11458759795588, 49.282444153186646]"
Painted Lanes,2009.0,"[-123.0411071822589, 49.2236099714317], [-123.0411184514854, 49.22340743089299], [-123.0411240985449, 49.223294720885136]"
Painted Lanes,2009.0,"[-123.0411240985449, 49.223294720885136], [-123.0411300360287, 49.22317620522585], [-123.04113032005527, 49.22317093389807]"
Protected Bike Lanes,1990.0,"[-123.2136613357911, 49.275958204351625], [-123.21366149550825, 49.2759582598265], [-123.21394537371843, 49.27605741749013], [-123.21432378019611, 49.27616178098272], [-123.2147967570674, 49.27630716365897], [-123.21479935481261, 49.27630796210064], [-123.21503580490081, 49.276332850072976], [-123.21549766048706, 49.27640313441562]"
Painted Lanes,2010.0,"[-123.10463357801825, 49.270189836693234], [-123.10610330988428, 49.27021670084071]"
Painted Lanes,1997.0,"[-123.18206090580223, 49.23015477551037], [-123.18304975692854, 49.23015913081841], [-123.18306582068881, 49.23015920431096], [-123.18313841250472, 49.23016008412703], [-123.18321092211151, 49.230161761008155], [-123.18326113692225, 49.23016355057369]"
Protected Bike Lanes,2009.0,"[-123.09044528339318, 49.237024079281426], [-123.09046105910814, 49.23655312075587]"
Painted Lanes,2009.0,"[-123.04109413761357, 49.22385774079269], [-123.0411000623416, 49.22374520520423]"
Painted Lanes,2009.0,"[-123.0411000623416, 49.22374520520423], [-123.0411071822589, 49.2236099714317]"
Painted Lanes,2006.0,"[-123.12864704726914, 49.27943336719836], [-123.12865041136287, 49.27943114074339], [-123.1291810948081, 49.27908007657454], [-123.12918112088165, 49.27908005765552]"
Protected Bike Lanes,2006.0,"[-123.13669244554146, 49.2945048883276], [-123.13732088540937, 49.29408920824059]"
Protected Bike Lanes,2004.0,"[-123.05443505536863, 49.20589005692564], [-123.05440752357637, 49.205868394835456], [-123.05431538273285, 49.20587599334863], [-123.0536951936635, 49.20592628636571], [-123.05366352933291, 49.2059574185036], [-123.0536348067396, 49.20598576162499], [-123.05357433053602, 49.20600339708058], [-123.0535742619142, 49.20600341690205], [-123.05346993943473, 49.2060124479433]"
Protected Bike Lanes,1990.0,"[-123.13048439225132, 49.27249601539955], [-123.1305055947476, 49.27245498146834], [-123.13063695695938, 49.27236202151856], [-123.13066531295438, 49.27232556611822], [-123.13065808564242, 49.2722931088385], [-123.1298408652264, 49.27176081294581], [-123.12980487311506, 49.27173828084447], [-123.12976685704314, 49.27172186503857], [-123.12972782974923, 49.27170931828907], [-123.12968473632525, 49.27170208235533], [-123.12964425708918, 49.271697810987014], [-123.12959970910934, 49.27169786096204], [-123.12955767199581, 49.27170447279747], [-123.12952732277496, 49.27171592892096], [-123.12929364603939, 49.271869347312794], [-123.1292243477885, 49.27189775429988], [-123.12916150864038, 49.271882265573744], [-123.12823823821586, 49.27128312647653], [-123.12781758468621, 49.27101014493617], [-123.12781011988474, 49.271006815076554]"
Painted Lanes,2008.0,"[-123.11706093143542, 49.21140727952509], [-123.11708417978322, 49.2108179395239], [-123.11710825680899, 49.210208227883555], [-123.11711072835986, 49.21014494711021]"
Painted Lanes,2009.0,"[-123.13397856484076, 49.29192535801359], [-123.13399067314938, 49.29193319495283], [-123.13437157968042, 49.292180426374216]"
Painted Lanes,2007.0,"[-123.123381628938, 49.22637051366969], [-123.1235867708086, 49.2263780725863], [-123.1235868188673, 49.22637806803726]"
Painted Lanes,2018.0,"[-123.03376063675302, 49.260520132447695], [-123.03377199788308, 49.25815024014252]"
Painted Lanes,2007.0,"[-123.12672641786389, 49.22649401474633], [-123.12831568485709, 49.2265526734413]"
Protected Bike Lanes,1997.0,"[-123.06826822604167, 49.26314305916231], [-123.06822307390395, 49.26319083508054], [-123.0681511253179, 49.26323657858136], [-123.0680156013225, 49.26325435380783]"
Painted Lanes,2006.0,"[-123.12142733081045, 49.286089509363194], [-123.12142737212925, 49.286089536305276], [-123.12192328785399, 49.28641027846322], [-123.12200538974464, 49.28646338744956]"
Protected Bike Lanes,2009.0,"[-123.10443941948976, 49.2792457160063], [-123.1044463682409, 49.279226845930474], [-123.1044538162211, 49.27920804556531], [-123.10445691638071, 49.2792007755557], [-123.10446181297154, 49.279189336454365], [-123.10447027598671, 49.279170713274986], [-123.10447919153818, 49.279152185934166], [-123.1044885652713, 49.27913382368964], [-123.10449850271776, 49.27911546813063], [-123.10450416171182, 49.27910567625512], [-123.10450900836655, 49.27909729196043], [-123.10451985518931, 49.279079214427625], [-123.10453125503838, 49.27906129201008], [-123.1045431157045, 49.27904348161423], [-123.10455545243651, 49.2790258425943], [-123.10456823344428, 49.279008295821306], [-123.10458145340473, 49.27899092495514], [-123.10458710443588, 49.27898388380918], [-123.10459524844272, 49.278973735269524], [-123.10460388951202, 49.27896328224218], [-123.10460940113363, 49.278956636109776], [-123.10462405745673, 49.27893974158233], [-123.10462408214568, 49.27893971367492], [-123.10462671574372, 49.27893678875572], [-123.10463912925344, 49.27892297350885], [-123.10465463063395, 49.27890650278477], [-123.104654666301, 49.2789064649727], [-123.10465636336556, 49.27890473006407], [-123.10467069039176, 49.27889011880602], [-123.1046809844998, 49.27887988105923], [-123.10468698150399, 49.27887391631808], [-123.10470383943641, 49.27885789231829], [-123.10471237752942, 49.278850123538255], [-123.10473605082333, 49.278828939118014], [-123.10473880499703, 49.27882647374072], [-123.10475689205117, 49.27881110256867], [-123.10475691675522, 49.27881108185734], [-123.10477535628037, 49.2787959523332], [-123.10477540157332, 49.2787959154119], [-123.10479426070607, 49.2787809177334], [-123.10481358370738, 49.278766176893235], [-123.10481361665113, 49.27876615167684], [-123.10483329762073, 49.2787516515795], [-123.10485335019114, 49.27873733734186], [-123.10487383777449, 49.27872328806374], [-123.10489466807455, 49.27870941927402], [-123.10491582477592, 49.27869581734106], [-123.10493735189189, 49.27868249032039], [-123.10494817488595, 49.27867597787359], [-123.1049592052184, 49.27866934020441], [-123.10498151144083, 49.2786564595283], [-123.10500404507931, 49.278643848496664], [-123.10502703298678, 49.27863150600365], [-123.10505024831251, 49.27861943405429], [-123.10507380516948, 49.27860763164512], [-123.105097692578, 49.278596107781134], [-123.10512182523661, 49.278584834654666], [-123.1051463517411, 49.27857386340288], [-123.10514640393855, 49.278573840867416], [-123.10517109456636, 49.27856311592902], [-123.10519612691571, 49.27855274958198], [-123.10519616125698, 49.27855273515844], [-123.10521720089807, 49.27854428211895], [-123.10562613105263, 49.27838867916477], [-123.10562930056724, 49.278387594146935], [-123.10562934864735, 49.2783875752131], [-123.10575889207485, 49.27833235042962], [-123.10587893166404, 49.27826856629733], [-123.10598816404791, 49.27819687978985], [-123.10608526577515, 49.278118188072945], [-123.1061474701193, 49.27805537425138]"
Protected Bike Lanes,1993.0,"[-123.09905308340531, 49.27765731580545], [-123.0969577539259, 49.27761842307451]"
Painted Lanes,2006.0,"[-123.1297140695862, 49.27872746110065], [-123.1302456338735, 49.278375689382266]"
Protected Bike Lanes,2016.0,"[-123.12008018329672, 49.277358229847664], [-123.12056485630566, 49.27767260789619]"
Protected Bike Lanes,2016.0,"[-123.14561717384466, 49.26889835600021], [-123.14563195649441, 49.2684612605988]"
Protected Bike Lanes,2016.0,"[-123.1228162909053, 49.24124665745143], [-123.12360830384802, 49.24127642355762]"
Protected Bike Lanes,2006.0,"[-123.11788971069332, 49.28457971055852], [-123.11837434562244, 49.284894034487934]"
Protected Bike Lanes,2012.0,"[-123.07191242241599, 49.21673060277699], [-123.07191137024354, 49.21673416106452], [-123.07189299772253, 49.21679217945087], [-123.07187304039842, 49.216850109766554], [-123.07186237947123, 49.21687875016804], [-123.07185159675161, 49.21690768838784], [-123.07182857912285, 49.21696507278581], [-123.07181273941316, 49.21700189041116], [-123.07180401483735, 49.21702217119068], [-123.07180400251924, 49.21702219908369], [-123.0717779203383, 49.217078962902114], [-123.07175037390734, 49.217135458664806], [-123.07173763910791, 49.217160132524604], [-123.07172135498142, 49.217191685476315], [-123.07170215095815, 49.21722668632881], [-123.07169075069547, 49.217247463500065], [-123.07165868901566, 49.21730297615904], [-123.07164874067827, 49.21731935733273], [-123.07162523707905, 49.21735812356285], [-123.0715902148796, 49.21741282576391], [-123.07158126034241, 49.21742612003599]"
Protected Bike Lanes,2013.0,"[-123.11102963628767, 49.21776511849375], [-123.1132833925508, 49.21779108273791]"
Protected Bike Lanes,2017.0,"[-123.15528958037787, 49.23457195701087], [-123.15529355917717, 49.2344639438478], [-123.15530339562893, 49.234229874106845], [-123.1553172417975, 49.233827611083484], [-123.15533118074853, 49.2334444943074], [-123.15534638933202, 49.23299586784203], [-123.15536173244143, 49.23258584340504], [-123.15540770204572, 49.23085552022296]"
